"BehaviorSpace results (NetLogo 6.2.2)"
"Segregation.nlogo"
"experiment"
"04/24/2025 22:31:15:177 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","%-similar-wanted","[step]","percent-unhappy"
"7","50","40","10","0.23328149300155523"
"6","50","40","11","0.38580246913580246"
"5","50","40","9","0.22692889561270801"
"3","50","40","9","0.3058103975535168"
"1","50","40","10","0.3993610223642172"
"4","50","40","12","0.07639419404125286"
"8","50","40","11","0.2259036144578313"
"2","50","40","11","0"
"6","50","40","12","0.15432098765432098"
"7","50","40","11","0.07776049766718507"
"3","50","40","10","0.0764525993883792"
"5","50","40","10","0.15128593040847202"
"1","50","40","11","0.3194888178913738"
"4","50","40","13","0"
"8","50","40","12","0.15060240963855423"
"7","50","40","12","0"
"5","50","40","11","0.15128593040847202"
"6","50","40","13","0"
"1","50","40","12","0.07987220447284345"
"9","50","40","0","33.229085222830335"
"3","50","40","11","0"
"8","50","40","13","0.15060240963855423"
"10","50","40","0","31.177829099307157"
"5","50","40","12","0.07564296520423601"
"8","50","40","14","0"
"1","50","40","13","0.07987220447284345"
"12","50","40","0","30.220197418375093"
"13","50","40","0","31.30769230769231"
"9","50","40","1","19.937451133698204"
"11","50","40","0","35.859375"
"5","50","40","13","0"
"14","50","40","0","31.055429005315112"
"10","50","40","1","17.090069284064665"
"12","50","40","1","16.552771450265755"
"1","50","40","14","0.07987220447284345"
"9","50","40","2","12.197028928850665"
"11","50","40","1","19.609375"
"13","50","40","1","16.230769230769234"
"15","50","40","0","31.245283018867926"
"10","50","40","2","9.85373364126251"
"12","50","40","2","10.630220197418375"
"14","50","40","1","17.463933181473045"
"9","50","40","3","6.9585613760750595"
"1","50","40","15","0"
"11","50","40","2","11.25"
"13","50","40","2","9.615384615384617"
"10","50","40","3","6.697459584295612"
"15","50","40","1","17.58490566037736"
"14","50","40","2","9.339407744874716"
"9","50","40","4","4.37842064112588"
"12","50","40","3","6.909643128321943"
"11","50","40","3","6.796874999999999"
"16","50","40","0","34.09263477600607"
"13","50","40","3","6"
"10","50","40","4","4.926866820631255"
"15","50","40","2","11.018867924528301"
"11","50","40","4","4.609375"
"9","50","40","5","2.580140734949179"
"12","50","40","4","5.694760820045558"
"16","50","40","1","18.98253606681853"
"13","50","40","4","3.076923076923077"
"14","50","40","3","5.618830675778284"
"15","50","40","3","6.943396226415094"
"11","50","40","5","2.734375"
"14","50","40","4","2.733485193621868"
"16","50","40","2","11.845102505694761"
"12","50","40","5","3.7205770690964313"
"10","50","40","5","3.541185527328714"
"9","50","40","6","1.1727912431587177"
"13","50","40","5","1.9230769230769231"
"15","50","40","4","4"
"11","50","40","6","1.484375"
"10","50","40","6","1.770592763664357"
"12","50","40","6","2.126044039483675"
"14","50","40","5","1.8223234624145785"
"9","50","40","7","0.7036747458952306"
"13","50","40","6","1.3076923076923077"
"10","50","40","7","1.0007698229407236"
"11","50","40","7","1.09375"
"12","50","40","7","1.29081245254366"
"15","50","40","5","1.8867924528301887"
"9","50","40","8","0.3909304143862392"
"16","50","40","3","6.985573272589218"
"13","50","40","7","0.7692307692307693"
"14","50","40","6","1.29081245254366"
"10","50","40","8","0.7698229407236336"
"9","50","40","9","0.3127443315089914"
"11","50","40","8","0.625"
"16","50","40","4","5.0113895216400905"
"15","50","40","6","1.3584905660377358"
"9","50","40","10","0.07818608287724785"
"12","50","40","8","1.1389521640091116"
"13","50","40","8","0.5384615384615384"
"14","50","40","7","0.683371298405467"
"10","50","40","9","0.7698229407236336"
"11","50","40","9","0.625"
"15","50","40","7","0.8301886792452831"
"12","50","40","9","0.6074411541381929"
"16","50","40","5","2.6575550493545936"
"13","50","40","9","0.6923076923076923"
"11","50","40","10","0.625"
"9","50","40","11","0"
"14","50","40","8","0.5315110098709187"
"16","50","40","6","1.442672741078208"
"10","50","40","10","0.5388760585065435"
"15","50","40","8","0.4528301886792453"
"14","50","40","9","0.30372057706909644"
"12","50","40","10","0.45558086560364464"
"10","50","40","11","0.30792917628945343"
"16","50","40","7","0.683371298405467"
"13","50","40","10","0.3076923076923077"
"11","50","40","11","0.546875"
"14","50","40","10","0.15186028853454822"
"15","50","40","9","0.3018867924528302"
"12","50","40","11","0.22779043280182232"
"17","50","40","0","31.574981160512433"
"13","50","40","11","0.15384615384615385"
"10","50","40","12","0.15396458814472672"
"16","50","40","8","0.45558086560364464"
"12","50","40","12","0.07593014426727411"
"17","50","40","1","19.51770911831198"
"11","50","40","12","0.15625"
"15","50","40","10","0.3018867924528302"
"14","50","40","11","0.07593014426727411"
"13","50","40","12","0.07692307692307693"
"10","50","40","13","0"
"16","50","40","9","0.22779043280182232"
"11","50","40","13","0.078125"
"17","50","40","2","10.851544837980406"
"12","50","40","13","0"
"15","50","40","11","0.1509433962264151"
"13","50","40","13","0.07692307692307693"
"14","50","40","12","0.07593014426727411"
"16","50","40","10","0.22779043280182232"
"11","50","40","14","0"
"18","50","40","0","28.94540014958863"
"13","50","40","14","0.07692307692307693"
"15","50","40","12","0.07547169811320754"
"14","50","40","13","0"
"17","50","40","3","6.631499623210249"
"19","50","40","0","32.30054221533695"
"16","50","40","11","0.15186028853454822"
"13","50","40","15","0"
"20","50","40","0","30.738993710691826"
"15","50","40","13","0"
"18","50","40","1","15.332834704562453"
"21","50","40","0","33.978328173374614"
"19","50","40","1","18.66769945778466"
"16","50","40","12","0.07593014426727411"
"17","50","40","4","4.52147701582517"
"18","50","40","2","9.050112191473449"
"20","50","40","1","17.452830188679243"
"23","50","40","0","32.9984544049459"
"21","50","40","1","16.408668730650156"
